ЭФ,,имя,тип,ранг,нация,длина,масса,Double,,Single,,,пушки,,,ДПС,,броня,,,офицеры,системы,,,,,,,,,,Баки,,АВТ,Важных,
слот,,,,,,,,F,T,F,T,Pd,L,M,S,,структура,площадь,масса,ср.т,,трюм,пушки,двиг,энер,ЦП,гироскоп,обит,баки,общ,H,мал,всего,,всего,СрВС
11,M11-scorpion,Scorpion,корвет,I,Зелёные,8,16.42,,,2,,1,,2,,12,14,57,2.5,0.701754386,2,1,2,2,1,1,1,1,,2,,14,14,0.8527918782,11,0.8571428571
11,M11-dragonfly,Dragonfly,корвет,I,Зелёные,8,16.33,,,1,1,1,,1,1,10,13,58,3,0.8275862069,2,1,2,2,1,1,1,1,,2,,10,10,0.612244898,11,0.8571428571
12,M12-dart,Dart,корвет,I,Федерация,7,16.33,,,1,1,1,,1,1,10,13,53,2.5,0.7547169811,2,1,2,2,1,1,1,1,,3,,6,6,0.3673469388,12,1
12,M12-punisher,Punisher,корвет,I,Орден,7,18.58,,,,2,1,,0,2,8,16,62,3,0.7741935484,2,1,2,2,1,1,1,1,,3,,18,18,0.9686098655,12,1
13,M13-scyche,Scyche,корвет,I,независимый,8,20.00,,1,,,1,,1,,8,18,63,3,0.7619047619,2,1,2,3,1,1,1,1,,3,,20,20,1,13,1
12,M12-centurion,Centurion,канонёрка,I,Империя,9,17.08,1,,,,2,1,0,,12,13,50,3,0.96,2,1,2,2,1,1,1,1,1,3,,,8,0.4682926829,12,1
14,M14-hound,Hound,тяжелый корвет,I,Единение,8,19.83,,,1,1,1,,1,1,10,16,62,3,0.7741935484,2,1,2,3,1,1,2,1,,3,,12,12,0.6050420168,14,1.142857143
16,M16-rammstain,Rammstain,эсминец,I+,Империя,10,23.58,,,,3,1,,0,3,12,19,68,4,0.9411764706,3,2,3,3,2,1,1,2,1,2,,8,16,0.6784452297,16,1.142857143
16,M16-wasp,Wasp,эсминец,I+,Зелёные,9,23.33,,,1,2,1,,1,2,14,19,70,4,0.9142857143,3,1,3,4,2,1,2,2,,1,,14,14,0.6,16,1.142857143
16,M16-pilum,Pilum,эсминец,I+,Федерация,8,22.42,,,2,1,1,,2,1,16,17,66,4,0.9696969697,3,1,3,4,2,1,1,2,1,2,,,8,0.3568773234,16,1.142857143
17,M17-imp,Imp,эсминец,I+,Единение,9,24.75,,,1,2,2,,1,2,14,21,73,4,0.8767123288,3,1,3,4,2,1,2,2,,2,,16,16,0.6464646465,17,1.285714286
17,M17-iquisitor,Inquisitor,эсминец,I+,Орден,7,24.92,1,,1,,1,1,1,,18,20,70,4,0.9142857143,3,1,3,3,2,2,1,1,1,4,,10,18,0.7224080268,17,1.428571429
22,M22-chariot,Chariot,лёгкий крейсер,II,Федерация,9,33.33,,1,2,,2,,3,,20,28,101,6,0.9504950495,4,2,4,4,2,2,2,2,,4,,24,24,0.72,22,1.714285714
24,M24-Machete,Machete,фрегат,II,Федерация,9,32.00,2,,,,2,2,0,,24,24,82,6,1.170731707,4,2,4,4,2,2,2,2,,6,,0,0,0,24,2
24,M24-Sting,Sting,фрегат,II,Зелёные,9,34.58,1,1,,,2,1,1,,20,28,90,6,1.066666667,4,2,4,4,2,2,2,2,,6,,18,18,0.5204819277,24,2
24,M24-foxhound,Foxhound,лёгкий крейсер,II,Зелёные,9,36.92,1,,,2,2,1,0,2,20,32,107,6,0.8971962617,4,2,4,4,2,2,2,2,,6,,34,34,0.920993228,24,2
24,M24-cavalier-light,Cavalier-light,фрегат,II,Империя,12,36.33,,2,,,2,,2,,16,31,89,6,1.078651685,4,2,4,4,2,2,2,2,,6,,30,30,0.8256880734,24,2
24,M24-cavalier-heavy,Cavalier-heavy,фрегат,II,Империя,12,33.92,2,,,,2,2,0,,24,26,87,6,1.103448276,4,2,4,4,2,2,2,2,1,6,,6,14,0.4127764128,24,2
24,M24-bishop,Bishop,фрегат,II,Орден,10,34.92,2,,,,2,2,0,,24,29,98,6,0.9795918367,4,2,4,4,2,2,2,2,,6,,20,20,0.5727923628,24,2
25,M25-cerber,Cerber,лёгкий крейсер,II,Единение,13,36.83,1,,1,1,2,1,1,1,22,31,96,6,1,4,2,4,5,2,2,2,2,,6,,26,26,0.7058823529,25,2
26,M26-Zealot,Zealot,лидер эсминцев,II,Орден,8,36.50,,,2,2,2,,2,2,20,30,93,6,1.032258065,4,3,4,6,2,2,2,2,,5,,16,16,0.4383561644,26,1.857142857
35,M35-hammer,Hammer,линейный фрегат,III,Империя,11,51.83,2,1,,,2,2,1,,32,43,110,9,1.309090909,6,3,6,6,3,3,3,3,,8,,34,34,0.6559485531,35,2.857142857
37,M37-excell,Excell,крейсер,III,Империя,12,56.29,1,1,,2,4,1,1,2,28,47,123,9,1.170731707,6,3,6,6,4,3,3,3,2,9,,35,51,0.9059955588,37,3.142857143
36,M36-escalibur,Escalibur,крейсер,III,Орден,11,50.33,2,,,2,3,2,0,2,32,40,119,9,1.210084034,6,3,6,6,3,3,3,3,,9,,16,16,0.3178807947,36,3
36,M36-scorpion2,Scorpion2,крейсер,III,Зелёные,13,52.67,2,,2,,3,2,2,,36,44,139,9,1.035971223,6,3,6,6,3,3,3,3,,9,,32,32,0.6075949367,36,3
36,M36-horn,Horn,крейсер,III,Зелёные,12,54.42,2,,,2,3,2,0,2,32,47,157,9,0.9171974522,6,3,6,6,3,3,3,3,,9,,44,44,0.808575804,36,3
36,M36-fang,Fang,крейсер,III,Зелёные,12,54.42,1,1,,2,3,1,1,2,28,47,157,9,0.9171974522,6,3,6,6,3,3,3,3,,9,,44,44,0.808575804,36,3
36,M36-claw,Claw,рейдер,III,Зелёные,12,53.25,,1,2,2,3,,3,2,28,45,150,9,0.96,6,3,6,6,3,3,3,3,,9,,36,36,0.676056338,36,3
48,M48-normandie,Normandie,авианосец,IV,независимый,13,64.75,,,,,4,,,,0,51,161,9,0.8944099379,8,4,,8,4,4,4,4,2,8,12,12,28,0.4324324324,48,4
